"LANGUAGE","Русский","Language name (in native language)."
"MOD_DESCRIPTION","Выберите, какие транспортные средства будут появляться в любом здании","Mod description, visibile in content manager."
"MOD_NAME","Vehicle Selector","Mod name displayed in-game in tooltips and labels."
"HEARSE","Катафалки","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Передача на другие объекты","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Машины скорой помощи","Vehicle selection title - ambulance vehicles."
"HELI_MED","Медицинские вертолёты","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Пожарные вертолёты","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Пожарные машины","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Водовозы","Vehicle selection title - water pumping vehicles."
"DISASTER","Автомобили МЧС","Vehicle selection title - disaster response ground vehicles."
"EVACUATION","Эвакуационный транспорт","Vehicle selection title - shelter evacuation buses."
"HELI_DISASTER","Вертолёты МЧС","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Полицейские вертолёты","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Тюремные вертолёты","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Полицейские машины","Vehicle selection title - police ground vehicles."
"PRISONVAN","Тюремный транспорт","Vehicle selection title - prisoner transfer ground vehicles."
"BANK_TRUCK","Инкассаторский автомобиль","Vehicle selection title - bank cash transfer vehicles."
"CARGO_TRUCK","Грузовой транспорт","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Дорожная служба","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Снегоуборочные машины","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Парковая служба","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Почтовые фургоны","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Несортированная почта","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Отсортированная почта","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Междугородная почта","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Такси","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Грузовые поезда","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Междугородные пассажирские поезда","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Мусоровозы","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Мусороперевозчики","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Рыбовозы","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Рыболовные лодки","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Пассажирские самолёты","Vehicle selection title - passenger planes."
"AIR_CARGO","Грузовые самолёты","Vehicle selection title - cargo planes."
"AIR_LIGHT","Лёгкий самолет","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Пассажирские суда","Vehicle selection title - passenger ships."
"SHIP_CARGO","Грузовые суда","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Междугородные автобусы","Vehicle selection title - intercity buses."
"CABLE_CAR","Кабины/вагоны канатных дорог","Vehicle selection title - cable cars."
"LOGS","Лесовозы","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Грузовики для пиломатериалов","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Сельхоз транспорт","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Транспорт для сельхоз продуктов ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Нефтевозы","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Топливовозы","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Рудовозы","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Грузовики для угля","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Добавить это транспортное средство в список разрешённого транспорта","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Добавить все подходящие транспортные средства в список разрешённого транспорта","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Удалить это транспортное средство из списка разрешённого транспорта","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Удалить все транспортные средства из списка разрешённого транспорта","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Доступный транспорт","Heading."
"SELECTED_VEHICLES","Выбранный транспорт","Heading."
"COPY_TIP","Скопировать в буфер обмена выбранные транспортные средства","Tooltip for 'copy' button."
"PASTE_TIP","Вставить из буфера обмена транспортные средства","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Скопируйте выбранный транспорт этого здания во все другие здания того же типа.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Скопируйте выбранный транспорт этого здания во все другие здания того же типа в этом же районе и/или области.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Перейти к зданию","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","Район отсутствует","Displayed when selected building has no district."
"ANY_VEHICLE","Любой транспорт","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Используется Transport Line Manager","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
